spotify_id,artist,track_name,valence,arousal,label_quadrant,instrumentalness
03By6gD02qhtvIQiK8KidK,The Doors,Back Door Man,0.909,0.612,Q1_Happy,0.000252
3dn1dBimUAxhJtXnzljrWO,Yuvan Shankar Raja,Yedhedo Ennangal,0.95,0.915,Q1_Happy,0.00158
08v1j4Hmy6uSiwXOnM5otQ,RADWIMPS,Zenzenzense - English Version,0.642,0.888,Q1_Happy,0.0
54zNh2euuIo4Oi19MNjunx,Sound Convoy,Blau von den Bergen kommen wir ( ja ja jippie jippie yeah) - Kleiner Hütten Mix,0.807,0.968,Q1_Happy,0.0
2oEHcVe21whTKWQBqRAYPp,Anirudh Ravichander,"Halamithi Habibo (From ""Beast"")",0.671,0.852,Q1_Happy,0.000626
3m0y8qLoznUYi73SUBP8GI,Ray Parker Jr.,Ghostbusters,0.738,0.846,Q1_Happy,0.000281
149rnEp5nR3Gdv7on1UXHQ,Sakurako Ohara,ステップ,0.696,0.941,Q1_Happy,0.000103
7I5WT7DtpwSAhEeDLpZEfm,Lauv,All 4 Nothing (I'm So In Love),0.898,0.819,Q1_Happy,0.0
10jI01n8w6g41qiIMAcAkb,BK,Vivos,0.646,0.672,Q1_Happy,0.0
4r5vlYJg34EmyWhHxoKGRN,Bullet Bane,Deja Vu,0.668,0.869,Q1_Happy,0.0
0iXgloyi8cmv3fTMTUvkK5,Tommy Lee Sparta,Spartan Soldier,0.63,0.738,Q1_Happy,0.0
4U6ZIcGbkFAob5WGI4QU5L,Jinny Ng,"完美的生活 - (劇集 ""愛.回家之八時入席"" 主題曲)",0.669,0.682,Q1_Happy,0.0
0XlC0S0t54MitA20FdPav8,Manim Vaqueiro,Lance Com Você,0.963,0.859,Q1_Happy,1.73e-06
0sk1XKozzvSVQW7ZU6AAW1,Sloan,She Says What She Means,0.622,0.912,Q1_Happy,2.11e-06
0jTodyOxIvQ2cJj0ZLnGKi,Ferrugem,Oya / Resumo da Felicidade / Amor singular - Ao Vivo,0.906,0.765,Q1_Happy,0.0
1Ffxfl1vuEDc0xBVPIQ50s,Kid Koala,"""Was He Slow?"" - Music From The Motion Picture Baby Driver",0.674,0.719,Q1_Happy,0.259
5yFN02Cfksk2iADPofGNIy,Varg²™,SHINIE,0.789,0.872,Q1_Happy,0.000418
4F5np0vOU7CCFCE0mRLfnh,The Fastback,Maybe,0.967,0.879,Q1_Happy,2.62e-05
5xkBCB7MqqCXNfIucasj9W,I AM THEY,Lift My Eyes,0.614,0.832,Q1_Happy,0.0
4p1YuwaHQBAUqFoAEH26lm,Nightcrawlers,Push The Feeling On - Remix,0.882,0.813,Q1_Happy,0.00395
4Wls6Mo3QpCTnfa1kSEs6X,Armandinho,A Ilha - Ao Vivo,0.928,0.665,Q1_Happy,0.0
5hlzz0D0ttrhZk8XSbbBVC,Armin van Buuren,"A State Of Trance (ASOT 1090) - Interview with GXD, Pt. 1",0.768,0.68,Q1_Happy,0.0
2KldK81uQyPpbJLwEekaLQ,Jon Lajoie,Everyday Normal Guy,0.69,0.721,Q1_Happy,0.0
1aDOzYdeUzuAQclyJm50bz,Chiquito Team Band,Ojos Mexicanos,0.763,0.696,Q1_Happy,0.0
4YCnTYbq3oL1Lqpyxg33CU,Chubby Checker,The Twist,0.852,0.618,Q1_Happy,2.69e-06
3fGNEVwPUykuWKsFFx2xAX,The Main Ingredient,Rolling Down a Mountainside,0.623,0.869,Q1_Happy,0.0742
5X7pKonIDs6VDlJnY1DTQD,Coti,Nada Fue Un Error,0.849,0.818,Q1_Happy,0.0
1DoqCxV1dJOfzVMBIfo64g,Léo Magalhães,Cds e Livros (Faixa Bônus) - Ao Vivo,0.704,0.878,Q1_Happy,0.0
7ERR92JTk2VsswMquOvOD5,Lia de Itamaracá,Meu São Jorge,0.876,0.676,Q1_Happy,3.37e-06
7qCAVkHWZkF44OzOUKf8Cr,Nicky Jam,El Perdón (with Enrique Iglesias),0.66,0.69,Q1_Happy,0.0
2aZrppfOAxTAGoTAQPBCf4,GALNERYUS,HUNTING FOR YOUR DREAM (TVサイズ),0.922,0.928,Q1_Happy,0.0
0NfSzNHMPFebUH2hcBXCmQ,Ferrugem,Ensaboado / Chopp Garotinho / Casa Azul / Climatizar - Ao Vivo,0.69,0.769,Q1_Happy,0.0
2y6jrNLONfSqjacoyXfcCe,Hi-STANDARD,ANOTHER STARTING LINE,0.804,0.969,Q1_Happy,8.66e-05
0Dm8v18g6ieupxLcdSpHVk,Pritam,Tum Se Hi (Remix),0.776,0.987,Q1_Happy,0.000838
7o1yzUVkQt2Gto5yYvzo2T,Shankar-Ehsaan-Loy,Lakshya,0.727,0.743,Q1_Happy,2.01e-05
6LnbaR5hLhhJkmmwYuMfCD,Cavalo De Pau,Passos na Areia / Juras de Amor - Ao Vivo,0.631,0.975,Q1_Happy,0.000418
3BGxXQJWeLAEcwNKRFUxYA,BaianaSystem,Reza Forte,0.872,0.915,Q1_Happy,0.00238
5dPESKKAvImbfc8Dgn9gTA,David Calzado y su Charanga Habanera,Hagamos un chen,0.893,0.886,Q1_Happy,0.0
5yQXpG19boq0pFBtTEGxAn,Niet Altijd Rozengeur,Doorgaon! - Hard Gaon Remix,0.718,0.914,Q1_Happy,0.0
4ql2jVYt0hD3PFvcsKYVLP,Gilberto Gil,Extra (Participação especial de Cidade Negra) - Acústico,0.791,0.706,Q1_Happy,9.77e-05
55phpQC9GSHQ7fAagLh4I7,Rail Yard Ghosts,Dirty Little Rag,0.797,0.799,Q1_Happy,0.0
0YM62MzsqtMsbCS0E89bvx,Los Amigos Invisibles,Sueño Erótico,0.837,0.823,Q1_Happy,0.067
6yoEBvEehjyf8JHHrlqgOj,MC Hariel,Pirâmide Social - Spotify Singles,0.836,0.686,Q1_Happy,0.0
1TuWr81XEnKF2oyKxeYHWf,Calle 13,Uiyi Guaye,0.767,0.783,Q1_Happy,0.00323
4sCSUQnWQ6HJsOMjfPicdn,Don Omar,Danza Kuduro,0.896,0.896,Q1_Happy,0.0
4Yr6wkOQPOOEpiGdGI34cl,Jota Quest,Tempos Modernos - Estúdio,0.893,0.785,Q1_Happy,0.0506
7bp5DfkdK1OAvNJ1U4HfDA,GZA,Shadowboxin',0.72,0.642,Q1_Happy,1.43e-06
50PTf1z8QxoYAFsr0g7r5D,The Falcon,The Angry Cry of the Angry Pie,0.625,0.929,Q1_Happy,0.00958
0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,TOMBOY,0.645,0.87,Q1_Happy,0.0
3ksFvNnc4Ci5bg8v98b1tD,Mc IG,Lembra,0.768,0.628,Q1_Happy,0.0
7Ila1OGzSuaKmtyoa72PXf,Dona Ivone Lara,"Mas Quem Disse Que Eu Te Esqueço - Live From Fundição Progresso, Rio De Janeiro, Brazil/ 2008",0.711,0.693,Q1_Happy,0.0
7MB82aWojKYntOXvQUogZM,Calcinha Preta,Como Vou Deixar Você?,0.63,0.933,Q1_Happy,2.51e-06
5GIE4sOL5Dk9gLbowUtUpT,SLANDER,Without You,0.615,0.712,Q1_Happy,0.0
7FIdJstlFStpFTmNd0Q42b,Small Faces,What'Cha Gonna Do About It,0.668,0.733,Q1_Happy,0.0
2AwbeqZqcTrZguAw6H2yrY,De Doelleazen,Myn Alde Puch,0.663,0.948,Q1_Happy,9.43e-06
1DIGB5kZKiHnEb2uWxzjzY,Big D and the Kids Table,Little Bitch,0.609,0.953,Q1_Happy,0.0
6gmFdoC3yMlRAfI0TmjUF9,Brasas do Forró,Todo Tempo É Pouco pra Te Amar - Ao Vivo,0.771,0.842,Q1_Happy,0.0
3OAFzjwWionh8OfM4kgf2R,Madan Mohan,Main Yahaan Hoon,0.741,0.788,Q1_Happy,0.0132
0O2SYh5AZ0y8MAPOVC4Mxz,The White Stripes,Ball and Biscuit,0.612,0.655,Q1_Happy,0.173
0nCPzric3OZJEm1pvD54Mb,Daniel Balavoine,Petite Angèle,0.829,0.757,Q1_Happy,0.000923
01hzSkNrbt10n7GaEulntu,Glee Cast,Everybody Talks (Glee Cast Version),0.735,0.891,Q1_Happy,0.0
2TRHiXwI8bbJKBJpTC655T,Grupo Revelação,Mulher Traída - Live At HSBC Arena/Rio de Janeiro(RJ)-Brazil/2012,0.817,0.831,Q1_Happy,0.0
68Pz2XleHmce26jXoP03RG,Charly García,Pasajera en Trance,0.901,0.644,Q1_Happy,0.0179
6ASkJDWpokBzOFDHEaeSq3,Los Soberanos,Estando Contigo,0.868,0.9,Q1_Happy,0.0
0DKvcH4SCRdhVYTxStKx9h,Arctic Monkeys,This House is a Circus,0.658,0.844,Q1_Happy,0.00196
03XMXPAE2Yx6HeqCpAPL5o,Kid Koala,"""Was He Slow?"" - Music From The Motion Picture Baby Driver",0.674,0.719,Q1_Happy,0.259
6L7VshJ2hM5fATDIWtGWVt,Titãs,Homem primata,0.933,0.731,Q1_Happy,5.99e-06
23GHwhFGMi2mNTD4CtyOCA,MÖWE,Lovers Friends,0.861,0.725,Q1_Happy,3.44e-05
63BT1ZA8NSk0soGSmKQVfq,Mister Gang,Tout le monde est là,0.84,0.64,Q1_Happy,1.74e-06
2Msg6jQVczsxdK5z7JS3S8,Amanda Ferrari,Decreto de Deus,0.602,0.696,Q1_Happy,0.0
7CWKzHSwqBCaSXalAwKkC2,UNISON SQUARE GARDEN,"kid,I like quartet",0.743,0.952,Q1_Happy,3.52e-05
0lObSY55zUQxlkPGaMpKGL,Contra,Ötesi,0.879,0.976,Q1_Happy,0.0
4XvaQOrwDalUlhAk8gvDGA,Yuvan Shankar Raja,Chirichukollunna Vande,0.659,0.942,Q1_Happy,0.000121
4c8lGKDfoGDCmpRoRO7I38,Mejk,Ostatni raz zatańczysz ze mną,0.811,0.827,Q1_Happy,0.0
1wWDN7wH8fBxSMa4gsRZOh,Mickie Krause,Du bist zu blöd um aussem Busch zu winken - Version 2008,0.748,0.98,Q1_Happy,0.027
2XLsf6YJWnFwHY6IcPLdmQ,voXXclub,Bobfahrer-Lied (feat. Troglauer),0.744,0.952,Q1_Happy,0.0
4xBBNJ8spMyuJynOQxJf7e,MindaRyn,Like Flames,0.609,0.89,Q1_Happy,1.38e-05
7gip0LcKJuuS4pfg7Ya8gD,Xande De Pilares,Moleque Atrevido - Ao Vivo,0.733,0.708,Q1_Happy,0.000102
6mx6kZqFsUaT3rYdxQ4Ajw,Shanti People,Hanuman Chalisa (Asante Sana Remix),0.901,0.949,Q1_Happy,0.000285
0rmGAIH9LNJewFw7nKzZnc,Bon Jovi,You Give Love A Bad Name,0.812,0.96,Q1_Happy,2.25e-06
3w2LyPXEIYwKcvAvBWcA50,Alemão Do Forró,Lingerie Vermelha - Ao Vivo,0.711,0.934,Q1_Happy,0.0
7h885RcjplY61CTeW4kl31,Víctor Manuelle,Lloré Lloré,0.948,0.874,Q1_Happy,0.0
5I4VsjWxOqN1nWfUpFZFM3,Sean Paul,Calling On Me,0.641,0.891,Q1_Happy,0.0
17TL9yOtBcUaq4dwq4WBa8,Valentín Elizalde,Esta Cobardia,0.845,0.649,Q1_Happy,1.9e-06
5slZ63KeWV4v6ZGUY1u0Ik,Ray De La Paz,Ni tu ni ella,0.851,0.783,Q1_Happy,0.0
2wz5weI4PREzpexKfrKgwv,La Bouche,Sweet Dreams,0.831,0.956,Q1_Happy,0.0247
7soFqD1nuVVsc5MOvo13Ad,Ana Mena,Ahora Lloras Tú (feat. CNCO),0.766,0.9,Q1_Happy,0.000171
3K0JVvLb44T6LaZJghKjLN,my little airport,失落沮喪歌,0.621,0.835,Q1_Happy,0.0403
6vCr0qIoGCRX0B4IUQaC4a,João Gordo,Ciganinha,0.815,0.937,Q1_Happy,0.000106
4qfj7D3fL7Q8x2vnCpfMrN,Shannon & The Clams,Into a Dream,0.772,0.771,Q1_Happy,0.00182
1cF2jOeC9I48ONwyGp8qg6,Seiko Matsuda,未来の花嫁(SEIKO STORY〜80's HITS COLLECTION〜),0.896,0.666,Q1_Happy,0.000672
5uLI5nNH2i5X0oE8oU1cq2,The Hub Caps,Tiger,0.964,0.948,Q1_Happy,0.0
5GeBgck1MU2tlIkMpsn8uT,Mohit Chauhan,Matargashti,0.659,0.63,Q1_Happy,0.0
5A0FvuZKZ53o5v2UNbTS2w,Trout Steak Revival,Wind On the Mountain,0.66,0.683,Q1_Happy,0.00233
0NSLB3GCpO9SU69XH8jjiF,Ana Mena,Un beso de improviso,0.813,0.932,Q1_Happy,0.0
1udKn1oNKYQSQ9OmiIWCMu,The Lovin' Spoonful,Do You Believe in Magic?,0.759,0.738,Q1_Happy,0.0
637bsehtpL2oJruOEL6lZ7,Enrique Iglesias,Bailando - Spanish Version,0.961,0.777,Q1_Happy,3.68e-06
5KdslOc1HHIL0IvV8SuI1o,Voilaaa,Pour la vie,0.77,0.687,Q1_Happy,6.84e-05
63RdTGRAFAtCDJkR4oFcdU,Vybz Kartel,Something Ah Go Happen,0.893,0.782,Q1_Happy,7.78e-06
1m0UFnuTktOkksvjbF9z0m,Vegedream,Ramenez la coupe à la maison,0.804,0.661,Q1_Happy,0.0
6vpyvi70JNqAJa9IqNx8qy,Tan Taşçı,Aşkım Diyorum,0.733,0.749,Q1_Happy,0.0
44RBmxhd4UvC4GfS4zOp2B,Brings,Su lang mer noch am Lääve sin - Radio Version,0.817,0.888,Q1_Happy,0.0
7pwEKNMaYtSKx3JX9XWGh4,Poshlaya Molly,Даже моя бэйби не знает,0.682,0.689,Q1_Happy,0.0
3SCVtAJq8li6HlKfM4M08u,Sean Paul,Gimme the Light,0.923,0.761,Q1_Happy,4.61e-05
5KVoTFSyuS4Oy6dxCyexBG,Di Propósito,A Carta / Pra Mim Não É / Supera - Ao Vivo,0.901,0.834,Q1_Happy,1.12e-05
6cvlwovmnAHT2LPYyh8Zfn,Ala Jaza,Aqui Abajo,0.894,0.723,Q1_Happy,0.00238
1zil75hECR25Sd0z7ia4G6,Lars Winnerbäck,Skulle aldrig hända oss,0.829,0.827,Q1_Happy,0.0377
76IkF7pA7RscjDTvOFT4vb,Stefflon Don,Hurtin' Me,0.799,0.794,Q1_Happy,1.52e-05
2wscladvcClNbW7io99gWw,DA Uzi,Booska Mexico,0.651,0.74,Q1_Happy,2.87e-06
7sU47AuRDvIxpS77gkMuO5,Deniz Seki,Sahici,0.711,0.614,Q1_Happy,0.0
20Mxqxf2u0Q6gNteDiViGm,Brisa Star,Como Eu Quero,0.812,0.901,Q1_Happy,4.53e-06
2uytykBrV2v4y7QagHcOI3,MC Joãozinho VT,Chute No Balde,0.884,0.661,Q1_Happy,0.0
0Fa9qMXVeHIKFU5fm35fy9,Namie Amuro,Fight Together,0.671,0.913,Q1_Happy,2.08e-06
6rPMeCHIEOJQK5vL7mPCSS,Campedrinos,Festivalero,0.964,0.897,Q1_Happy,0.0
0Z4pLlygCvkTHmeQtYAbNH,Nine Inch Nails,Discipline,0.824,0.793,Q1_Happy,0.285
5Z0lZm84qatUxKcfD8ZfiD,Popeda,Matkalla Alabamaan,0.675,0.879,Q1_Happy,0.0
1M75T97HUSByfvLskwNxkk,Wesley Safadão,Fala Aqui Com a Minha Mão,0.923,0.886,Q1_Happy,0.0
42KOxa76f1En2OrJiS0cEF,Big Mucci,The TrailRiders Shuffle,0.855,0.664,Q1_Happy,0.0
0DPm7fR4Nf7VzuIc6pGWt6,Paula Mattos,Namorando Bloqueia,0.923,0.851,Q1_Happy,0.0
5FjCiMKUoEKP5ziXyggctH,Ugly Valley Boys,Alota Guns,0.899,0.618,Q1_Happy,0.0259
1FHNctV68GUNLgXclG2DtR,Toploader,Dancing in the Moonlight,0.871,0.845,Q1_Happy,0.0
5mHHsLLoM1M7z9mAdw0qvG,IAM,Sombres Manoeuvres / Manoeuvres Sombres,0.638,0.849,Q1_Happy,1.18e-05
0en6SFmN4eaErErH126wbJ,Pet Shop Boys,What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,0.928,0.871,Q1_Happy,0.000602
6KWcq5p0wsz97N3eoRUSH6,blink-182,I Really Wish I Hated You,0.728,0.81,Q1_Happy,0.0
76Vvmk6PXTw9WOt2ghhBoB,DubVision,Fall Apart,0.648,0.911,Q1_Happy,3.34e-06
3EqkflivbF639pZxjyl7JN,Sinizter,BLOODLINE,0.619,0.977,Q1_Happy,0.00201
3P94c9FKHvcbPhKIOxhf1N,The Wallflowers,Sleepwalker,0.797,0.85,Q1_Happy,0.0
